 Delta, Theta, Alpha1, Alpha2, Beta1, Beta2, Gamma1, Gamma2,Activity_Name
40548,59728,17713,8648,8136,5572,2192,2245,Light Ambulatory
501864,700875,33598,54153,21118,23380,4413,2584,Light Ambulatory
40298,64235,34567,4421,9157,7903,4302,1322,Light Ambulatory
91703,22658,7532,4246,2361,1762,816,394,Light Ambulatory
12415,38587,6003,9306,6287,7028,7048,1891,Light Ambulatory
532151,110476,76906,12588,22149,14072,8128,3321,Light Ambulatory
724057,160643,71025,17247,33521,11551,12081,3270,Light Ambulatory
161565,44185,22755,4622,7172,2499,1399,910,Light Ambulatory
112276,14763,6236,7510,4345,2624,518,343,Light Ambulatory
112874,8829,3676,528,1118,1074,506,326,Light Ambulatory
109875,17218,10362,4257,695,574,213,231,Light Ambulatory
44722,120377,26408,25891,20882,16441,8493,5324,Light Ambulatory
316581,142972,23984,28230,41303,8739,11403,5680,Light Ambulatory
88472,20027,18189,17080,5275,7773,12807,10291,Light Ambulatory
180417,165421,20672,9906,4302,2723,2010,641,Light Ambulatory
98563,196307,69023,28805,7788,12174,3474,2033,Light Ambulatory
146035,37952,13644,3886,6377,3179,1046,1069,Light Ambulatory
280640,23564,2662,3073,5243,1793,2809,1719,Light Ambulatory
130678,56233,12056,5784,2607,4460,1457,679,Light Ambulatory
132020,55225,20699,4390,4142,1860,960,661,Light Ambulatory
31910,17405,9698,6618,7076,3232,1323,913,Light Ambulatory
75320,44552,4434,3686,6781,2826,1323,635,Light Ambulatory
1199728,166710,76092,11919,20705,14863,8349,1901,Light Ambulatory
400627,305730,13593,2937,23211,10124,6779,5120,Light Ambulatory
847345,212811,19369,55770,16621,15570,8708,14334,Light Ambulatory
1489432,79369,5621,37202,33816,32539,9068,2059,Light Ambulatory
124904,80107,60260,41116,24410,17606,10546,9991,Light Ambulatory
151737,49254,2712,3109,4032,2579,1877,833,Light Ambulatory
691617,232613,37882,17205,20331,13825,10744,5509,Light Ambulatory
92607,57987,11409,6358,26271,24026,3274,626,Light Ambulatory
687074,123325,14242,46565,20021,8697,3092,2193,Light Ambulatory
163133,20600,1845,4007,4063,1254,670,602,Light Ambulatory
156651,28938,23195,15925,10383,12244,1708,1093,Light Ambulatory
183770,8985,5114,13495,19150,3074,1871,1790,Light Ambulatory
170572,37760,18412,4845,7893,4403,3687,1864,Light Ambulatory
28271,62485,9381,1653,4591,6240,2503,423,Light Ambulatory
71890,24950,463,23502,3696,1173,1505,714,Light Ambulatory
236383,86763,52633,9921,14464,12366,7512,2898,Light Ambulatory
129272,115515,4207,11078,4366,6130,2371,2958,Light Ambulatory
2041866,97005,33856,26391,8205,19172,7379,4616,Light Ambulatory
472471,25303,2439,3366,7444,3985,2224,1064,Light Ambulatory
120783,110974,44493,29045,21197,15103,6065,6271,Light Ambulatory
2467316,101867,73888,11370,39798,17152,6741,4480,Light Ambulatory
304679,113864,4732,21435,9560,13056,7195,2241,Light Ambulatory
137274,46525,8758,10428,10856,6722,4524,3104,Light Ambulatory
13852,35905,28473,11909,17168,7285,5485,2644,Light Ambulatory
169368,82424,48518,5755,10920,8775,4669,2811,Light Ambulatory
514438,162876,50579,17389,15266,19026,13150,4965,Light Ambulatory
157764,19897,5001,2945,1310,612,191,217,Light Ambulatory
65416,6047,3017,6009,1394,6468,1428,1312,Light Ambulatory
289026,73963,15101,30855,7955,6157,2189,789,Light Ambulatory
33789,25621,29169,12157,5769,9423,1462,1624,Light Ambulatory
233561,134498,49169,30871,59859,21717,13466,8803,Light Ambulatory
691366,78814,9126,13361,15016,4347,3945,960,Light Ambulatory
76954,26312,10494,34645,22045,9124,4548,6891,Light Ambulatory
345174,15905,12724,2669,5986,2600,1091,301,Light Ambulatory
5392,3548,41684,6438,3590,6670,6643,2188,Light Ambulatory
87414,7379,10287,856,868,694,259,142,Light Ambulatory
68154,17775,123,1580,508,1862,325,100,Light Ambulatory
81565,46795,2151,2199,1641,3678,2912,485,Light Ambulatory
416381,42828,9350,4785,4043,2398,4937,980,Light Ambulatory
26366,15913,18412,6420,7108,8652,4576,1048,Light Ambulatory
169957,17771,4030,6696,5102,2640,860,255,Light Ambulatory
100917,15318,4185,3666,3211,2340,2313,369,Light Ambulatory
1610009,50783,14302,11623,7960,3179,2239,878,Light Ambulatory
1516261,962101,36683,102658,71321,39646,25489,3864,Light Ambulatory
287345,71422,15815,10398,10732,5895,1854,1273,Light Ambulatory
143190,16665,835,2679,3944,1512,273,109,Light Ambulatory
136964,46513,10247,19079,21919,11260,2724,4637,Light Ambulatory
131612,23092,1844,2922,4183,2914,1673,365,Light Ambulatory
181814,102034,47777,30774,60846,12253,16006,4040,Light Ambulatory
106770,25724,9595,9185,4800,3487,514,663,Light Ambulatory
293316,179149,52769,30174,14757,8016,6795,4923,Light Ambulatory
1001597,126663,21300,6446,20537,10004,5323,6298,Light Ambulatory
429704,32697,27786,29178,11386,19234,3638,1248,Light Ambulatory
1143521,169304,48724,16937,16029,11264,3424,1871,Light Ambulatory
370640,23085,6031,6597,5805,2078,1284,302,Light Ambulatory
422315,304846,127809,40131,59148,18826,4869,2260,Light Ambulatory
234132,76664,22199,8119,26728,25628,4087,3363,Light Ambulatory
40026,113756,9623,9235,8843,6899,1829,1349,Light Ambulatory
138093,42267,4201,5469,2566,4656,1711,594,Light Ambulatory
594433,152617,35009,48302,27313,16628,7671,6442,Light Ambulatory
209758,26446,16357,18745,10460,2337,2418,894,Light Ambulatory
1662515,80571,47474,25618,16041,15289,4830,3698,Light Ambulatory
187527,174783,89484,6562,24319,28228,12025,3663,Light Ambulatory
2635794,109917,40535,21444,7815,16336,9120,5042,Light Ambulatory
1494655,144435,39719,66645,47612,16159,18333,4864,Light Ambulatory
2846385,208542,24623,104038,118535,65680,30322,5155,Light Ambulatory
47867,25313,1269,3698,2952,3202,2524,868,Light Ambulatory
29094,41676,6471,7031,3125,1122,616,998,Light Ambulatory
347169,130622,62420,10666,29506,11755,11103,4260,Light Ambulatory
55726,13161,3244,5748,2461,2743,2750,922,Light Ambulatory
175040,72569,4892,4284,5792,11341,2282,1023,Light Ambulatory
1144474,112425,73296,51216,28430,45082,22992,5503,Light Ambulatory
79375,30876,2700,2964,12510,3081,1389,1140,Light Ambulatory
592223,244103,39907,62073,102073,38374,14108,2350,Light Ambulatory
82667,10702,17286,5645,10727,1608,1455,1073,Light Ambulatory
74076,56050,16419,23086,13598,7466,4519,1570,Light Ambulatory
208146,222514,54515,28566,12593,21560,8246,2580,Light Ambulatory
823004,158101,37041,9169,27113,17658,21750,9223,Light Ambulatory
540653,6631,871,4628,3588,1881,1283,573,Light Ambulatory
397447,71618,19107,19985,15380,18890,7846,1686,Light Ambulatory
150886,78140,18146,6259,3206,2764,680,762,Light Ambulatory
270533,219039,10435,8830,9364,4582,3580,824,Light Ambulatory
33261,5751,3246,3183,1835,637,422,236,Light Ambulatory
542417,63534,11626,33777,23053,16305,15879,2329,Light Ambulatory
147055,30403,3650,24208,7880,11375,1682,2132,Light Ambulatory
335461,44056,26323,65999,35612,7359,7583,4150,Light Ambulatory
334712,94137,22629,14307,14876,13621,8139,3461,Light Ambulatory
40199,16703,5329,1051,710,784,281,321,Light Ambulatory
213368,11543,10791,3582,4077,1672,916,384,Light Ambulatory
425948,84171,4062,30091,11797,5966,8876,6502,Light Ambulatory
59283,35676,12487,11194,18434,21607,2581,4465,Light Ambulatory
219853,101177,38228,13246,6420,18564,6042,3222,Light Ambulatory
430712,306756,29358,38244,8738,7347,4095,3449,Light Ambulatory
77879,38950,18668,18759,6425,6925,5235,3451,Light Ambulatory
65026,56189,14884,3626,4217,2910,1550,915,Light Ambulatory
68620,9501,14485,12566,3923,2026,3105,1308,Light Ambulatory
59101,76816,7853,10004,7508,4885,1978,479,Light Ambulatory
308162,40405,18812,17830,10201,6958,2610,1665,Light Ambulatory
1968010,65801,62568,26458,27233,6177,11324,4458,Light Ambulatory
209132,58619,26832,5062,9902,5299,3385,1138,Light Ambulatory
91752,9779,8560,4397,5092,12052,7299,7035,Light Ambulatory
256031,114684,28642,4054,4076,14049,5604,3210,Light Ambulatory
43195,46673,10088,14855,9769,10771,4504,6984,Light Ambulatory
48454,89975,9427,2627,9409,3664,1411,545,Light Ambulatory
1436359,523118,118385,18883,39042,17694,10881,2258,Light Ambulatory
762742,185865,53189,14912,6332,7956,9399,2641,Light Ambulatory
1031553,349170,28955,48688,60900,19372,31277,12153,Light Ambulatory
408354,77518,3875,9144,11475,4537,2017,2775,Light Ambulatory
417255,50949,3883,7994,2597,4826,4274,843,Light Ambulatory
208115,14166,2714,994,1610,1840,467,491,Light Ambulatory
316724,300259,27718,18959,29215,32871,9009,2796,Light Ambulatory
704038,279655,14846,23754,20250,20917,11516,3394,Light Ambulatory
270589,140727,47369,57302,12208,29580,13478,6338,Light Ambulatory
916071,451184,164352,27513,49627,24427,24148,5897,Light Ambulatory
155858,29336,4363,10009,7793,5326,3348,4124,Light Ambulatory
105528,26224,15131,3637,7854,2515,2993,1462,Light Ambulatory
346598,31242,4870,1868,2093,2432,753,502,Light Ambulatory
192299,49482,5655,6299,5554,11144,2674,3660,Light Ambulatory
85332,20377,13296,16077,10262,5679,4753,2079,Light Ambulatory
171921,24531,4717,5215,4381,2625,1439,752,Light Ambulatory
401420,47610,49528,13140,22409,9532,5953,3532,Light Ambulatory
126135,65202,10125,7623,10968,2430,1011,514,Light Ambulatory
288666,233551,133485,36587,37630,18312,11191,2480,Light Ambulatory
2155008,479250,168785,45217,13226,21081,8464,3170,Light Ambulatory
239034,65785,9211,9742,7197,11666,2619,1176,Light Ambulatory
2067307,307903,57680,93909,20261,44983,7291,2722,Light Ambulatory
101905,9218,3726,13556,2407,4058,1013,2037,Light Ambulatory
1417379,134328,95021,28238,29933,44832,9907,7256,Light Ambulatory
31134,13326,7461,915,2819,704,861,151,Light Ambulatory
288865,257828,7737,28443,17580,17914,7083,2506,Light Ambulatory
66593,25955,61778,7113,12807,24261,7731,2146,Light Ambulatory
307965,122847,32429,9012,34234,16586,9065,7709,Light Ambulatory
70974,22309,4479,1583,8025,4249,1302,811,Light Ambulatory
95851,47315,21610,4355,2425,2506,1515,644,Light Ambulatory
827232,165501,75659,21059,63552,16722,13036,3902,Light Ambulatory
110924,19707,8986,2610,5662,2208,2684,758,Light Ambulatory
415960,66775,20971,5709,45433,11200,6540,2999,Light Ambulatory
942109,73678,78603,16371,55359,18501,14919,11332,Light Ambulatory
863183,71491,47544,44125,31551,9326,17977,4342,Light Ambulatory
68875,54643,10688,7245,4615,2865,1514,893,Light Ambulatory
54068,22607,1853,6381,4678,2962,1355,579,Light Ambulatory
399321,34598,8034,88787,12799,30955,12645,2517,Light Ambulatory
368277,71570,13129,19624,6222,4819,3842,1099,Light Ambulatory
556293,28724,6303,6336,8726,7941,5608,848,Light Ambulatory
342611,116507,27295,3839,7655,4962,3962,1143,Light Ambulatory
149080,18888,10583,1878,4075,2378,2295,1691,Light Ambulatory
61742,55141,16093,19038,10215,17601,5281,1651,Light Ambulatory
595297,97143,86953,33247,23610,11994,7901,3456,Light Ambulatory
1108251,313427,174776,49575,92382,7388,39700,15540,Light Ambulatory
713752,274130,8495,46436,56436,39372,6367,4798,Light Ambulatory
264131,27670,12015,3219,3917,1802,1501,425,Light Ambulatory
247354,44940,6596,9257,9283,8130,2055,574,Light Ambulatory
719780,220731,97164,23179,23284,21696,9772,2710,Light Ambulatory
60218,51441,14657,3650,9105,3873,1967,841,Light Ambulatory
279915,47440,9072,2673,1375,5012,1185,1192,Light Ambulatory
2046305,99872,187018,74501,27166,31497,24034,11922,Light Ambulatory
52022,35505,8461,3046,3221,1253,572,207,Light Ambulatory
439815,104776,37609,10352,9438,6418,1283,882,Light Ambulatory
223369,258667,77542,62234,38792,27126,6854,3807,Light Ambulatory
2185729,192506,4973,15055,53076,15223,5423,5127,Light Ambulatory
161835,160570,30971,16734,14940,5982,6817,2506,Light Ambulatory
284284,21881,5221,7454,6729,6658,3079,979,Light Ambulatory
349196,229138,12187,19387,29165,16146,14439,5441,Light Ambulatory
1178706,90807,10111,32393,16395,21133,22330,22304,Light Ambulatory
647415,57445,8665,2330,3393,7484,1577,2565,Light Ambulatory
299974,52732,4140,4780,7195,2632,5508,915,Light Ambulatory
910305,180971,23558,38683,11876,18948,14386,5009,Light Ambulatory
301337,77177,41022,39294,25154,12051,15302,5385,Light Ambulatory
1088345,296011,18350,15970,5486,6055,4044,6194,Light Ambulatory
144067,17308,19272,11570,9722,7848,3187,1635,Light Ambulatory
390942,189266,18288,22147,15981,26294,11019,6481,Light Ambulatory
171710,69575,22748,34504,27256,4868,4962,3798,Light Ambulatory
64398,37516,8613,6264,1176,1427,363,462,Light Ambulatory
888082,90094,16079,23452,12320,11760,7462,2952,Light Ambulatory
813685,592939,162980,127901,274010,183717,25718,10241,Light Ambulatory
247243,40409,1210,1874,1959,1604,2266,709,Light Ambulatory
219826,36351,4724,11326,3085,8523,2372,1027,Light Ambulatory
253337,27989,38868,16922,35675,11097,5904,7626,Light Ambulatory
316331,52060,1485,12053,17666,9293,6728,4315,Light Ambulatory
381951,112957,12000,18957,69984,17734,19061,4286,Light Ambulatory
44004,27997,2953,1976,1542,1989,853,340,Light Ambulatory
125640,98641,25241,53885,12720,20369,11002,2455,Light Ambulatory
192768,67339,59658,29716,27733,8130,9742,2403,Light Ambulatory
309152,65485,18162,8482,11120,3233,1924,1436,Light Ambulatory
117492,244891,3259,6081,8274,3554,1508,1424,Light Ambulatory
487858,68687,13856,18851,11233,18529,7091,4420,Light Ambulatory
439955,20754,12159,4454,6862,5351,4878,941,Light Ambulatory
1986436,557507,135669,9692,98506,55471,17334,6965,Light Ambulatory
1965166,81422,5659,15335,10889,2874,4260,5415,Light Ambulatory
212561,22557,6800,15825,11516,6091,8486,2657,Light Ambulatory
865609,71348,6816,11524,16097,13075,4002,1964,Light Ambulatory
2379808,494651,71388,120083,36213,36375,20649,9168,Light Ambulatory
859778,262422,110258,34614,72280,58986,22883,7016,Light Ambulatory
3891329,124621,62840,55035,29527,22415,11859,7414,Light Ambulatory
70204,42892,11470,7321,6552,8250,2806,1646,Light Ambulatory
433764,127156,56184,54114,34098,19164,18664,1974,Light Ambulatory
678285,200528,38226,22771,41633,27847,3366,2629,Light Ambulatory
405884,215479,44310,37963,14491,17972,11536,1699,Light Ambulatory
2801836,237527,89133,61952,66790,33785,26094,7462,Light Ambulatory
867948,95848,7818,37682,28264,11160,16572,6637,Light Ambulatory
273135,7796,556,7139,2531,4957,496,319,Light Ambulatory
1284032,299741,95704,26705,59144,29119,18156,14939,Light Ambulatory
133819,75763,10455,21939,15895,15191,6103,6060,Light Ambulatory
1510226,84369,23792,15194,41332,12774,9018,3329,Light Ambulatory
218303,207180,8479,11091,3779,13539,5786,2957,Light Ambulatory
184061,22441,11442,5793,6752,2188,1755,1117,Light Ambulatory
2194744,137053,36025,30304,19239,23966,7415,3343,Light Ambulatory
1378522,91841,14694,10732,13885,21752,8206,5922,Light Ambulatory
64953,14575,3993,5367,1929,3912,3768,789,Light Ambulatory
461912,59849,30917,13256,16000,3760,1423,1419,Light Ambulatory
235851,64162,6374,10589,4124,8988,1221,2288,Light Ambulatory
45606,64596,15496,5723,5314,4969,2490,1022,Light Ambulatory
581321,204600,14416,41167,65595,33849,14691,19350,Light Ambulatory
182175,27209,23504,5873,8324,3840,2659,1404,Light Ambulatory
105535,23565,5489,3476,1648,3633,2027,2413,Light Ambulatory
120021,20892,14569,3473,8462,3430,3128,523,Light Ambulatory
1595515,85317,59400,20665,39122,7755,9261,5501,Light Ambulatory
597437,40863,52942,17532,16360,29523,9020,2318,Light Ambulatory
638113,19402,13936,576,13234,14641,13896,2640,Light Ambulatory
1350916,356443,12058,30611,23314,18350,11405,8542,Light Ambulatory
258333,11946,2588,5085,8725,4734,1889,896,Light Ambulatory
292333,538840,18824,46843,16840,51543,19337,6861,Light Ambulatory
348924,135317,17997,6094,18100,15380,745,1769,Light Ambulatory
120404,56097,17017,3777,6185,3404,1406,2745,Light Ambulatory
13506,8114,1897,1561,2320,966,515,212,Light Ambulatory
217226,77886,43913,8288,6785,5357,1677,865,Light Ambulatory
73542,76412,102803,39195,54933,26702,8504,2397,Light Ambulatory
149757,119190,22237,7252,18092,15327,11648,2096,Light Ambulatory
125198,21909,22982,4501,15849,3812,1979,2598,Light Ambulatory
751463,101639,19960,28715,17262,18754,15870,9252,Light Ambulatory
1548854,111363,175803,31843,71337,53362,17915,7709,Light Ambulatory
237783,52353,24905,29896,11190,33219,11177,2608,Light Ambulatory
255642,43649,513,15664,7443,14805,6500,8758,Light Ambulatory
225083,35398,18369,5832,4805,5293,4629,3371,Light Ambulatory
420046,170339,19573,64416,45987,30009,10424,7250,Light Ambulatory
370684,48681,33754,10159,6456,22692,20786,4976,Light Ambulatory
127439,69623,19134,1444,14190,18790,23408,3202,Light Ambulatory
200096,55214,16128,12378,6685,10954,19537,11096,Light Ambulatory
628329,229644,29219,80489,30309,34681,14643,4873,Light Ambulatory
45220,112914,11366,14543,7769,7140,5465,304,Light Ambulatory
867330,88003,32173,57269,11806,12250,9437,5300,Light Ambulatory
325184,455140,23182,12834,15377,18626,10590,11143,Light Ambulatory
121381,51331,7024,6370,4678,7898,4470,1224,Light Ambulatory
53758,12217,26558,19052,7472,17194,23302,2546,Light Ambulatory
1570181,87642,49312,8627,19924,13804,6314,3013,Light Ambulatory
553465,42183,57209,8258,14017,14350,4565,14317,Light Ambulatory
132926,40962,9559,1714,9029,2113,1729,1892,Light Ambulatory
210037,400919,49739,13758,12023,17664,6727,5238,Light Ambulatory
501250,29696,19165,28966,13172,20273,5168,5226,Light Ambulatory
214748,43907,6589,2057,4754,3566,2302,1404,Light Ambulatory
89852,85029,5699,2350,5400,3365,3640,469,Light Ambulatory
458663,314124,23873,3435,22858,10083,5298,2158,Light Ambulatory
188048,264177,48755,33644,11289,32927,15513,3860,Light Ambulatory
130771,115469,4139,13906,2507,13934,12535,3059,Light Ambulatory
213645,51807,67133,26985,47537,16896,14569,1326,Light Ambulatory
748144,38157,14252,33070,12717,29838,15146,1568,Light Ambulatory
133515,30695,3425,4754,2914,10738,1442,470,Light Ambulatory
206966,18774,10066,13808,3737,5488,4177,658,Light Ambulatory
413105,330061,19208,28356,40157,24319,9496,8440,Light Ambulatory
397544,49810,13903,5267,4486,2677,767,434,Light Ambulatory
151510,14169,8613,3652,1482,1406,280,195,Light Ambulatory
